"Prov","mun","stlmtsz8","stlmtsz5","H_SETTLEMENT","H_URBRURAL","E_RESPINT","F_INTPRIVACY","E1_LITERACY","gov_trst","dem_equ","dem_imp","dem_mil_reg","eth_death","eth_poldeath_sex","eth_sex_rel","Q106","Q107","Q108","Q109","Q110","Q112","Q120","Q143","Q158","Q159","Q160","Q161","Q162","Q177","Q178","Q179","Q180","Q181","Q182","Q183","Q184","Q185","Q186","Q187","Q188","Q189","Q190","Q191","Q192","Q193","Q194","Q195","Q234","Q240","Q241","Q242","Q243","Q244","Q245","Q246","Q247","Q248","Q249","Q250","Q251","Q252","Q286","Q287","Q288","Q288R","Q291G2","Q291G3","Q291G4","Q291G5","Q291G6","Q291P1","Q291P2","Q291P3","Q291P4","Q291P5","Q291P6","Q292A","Q292B","Q292C","Q292D","Q292E","Q292F","Q292G","Q292H","Q292I","Q292J","Q292K","Q292L","Q292M","Q292N","Q292O","Q293","Q35","Q36","Q39","Q40","Q41","Q47","Q48","Q49","Q50","Q143p","Q234p","Q287p","Q47p","ML1","ML3","ML2","ML4","ML5","ML6"
608162,608047,1,1,1,1,1,1,1,0.481861474840851,1.08483359550864,1.39137755970299,1.47759962950708,2.71979494115771,1.99118662231665,2.50565991586474,8,7,9,6,10,10,8,1,9,9,9,1,1,6,4,10,9,9,8,10,10,8,10,10,10,10,10,9,8,8,8,10,2,8,9,9,9,8,9,9,8,8,9,9,10,10,2,3,5,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,4,2,2,2,4,2,3,4,4,4,2,2,8,2,2,1,1,1,3,5,6,4,4,3,3,2,2.84044634800628,1.35053673482098,0.44986886959409,-0.445739261324987,0.792314911378911,1.77473096384768
608162,608047,1,1,1,1,1,1,1,2.01956918173871,1.33624473605964,1.44527922187297,1.5512268084839,-0.884418870799494,0.434024809727715,-0.0863061924079723,5,7,6,5,5,10,10,1,6,8,6,7,7,3,1,1,1,1,2,1,1,7,7,1,1,1,8,1,1,6,6,8,1,6,8,7,9,6,10,10,9,7,10,10,10,7,2,5,6,2,2,2,4,4,4,3,3,4,4,4,4,2,4,3,4,4,4,2,4,2,4,2,4,4,5,5,7,3,3,2,2,4,2,8,6,6,4,4,1,3,-0.313354401121351,1.23978838505176,2.23620260509041,0.0675218026315014,1.25655948636135,-1.59908473333916
608162,608047,1,1,1,1,1,1,1,1.118277133298,-0.665787515661587,-0.237399043979283,-0.166749225344613,-1.00639645186792,-1.13693892472987,-1.39658543590391,8,5,10,6,1,10,5,1,7,8,4,5,5,9,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,8,7,10,8,5,5,5,5,5,5,7,7,2,3,5,2,2,3,3,4,3,3,3,3,4,3,3,3,3,3,3,2,2,3,2,3,3,2,3,3,3,3,7,4,2,3,2,4,2,8,8,8,4,4,3,3,-1.2265587915912,-0.365779337173665,1.11043348270964,-0.603952367383457,0.175627381212502,-0.117103833994767
608162,608047,1,1,1,1,1,1,1,-0.0270415604353786,-0.307251060285614,-0.530165514512973,-0.453571488092435,-0.815398289291892,-0.679632913371478,-0.362774688536977,5,1,5,1,1,10,4,2,6,1,6,1,4,9,1,2,1,4,7,4,1,1,1,1,3,1,1,2,6,1,1,5,1,5,5,5,5,5,5,5,7,7,7,6,6,10,2,5,1,1,2,2,2,2,2,5,2,2,2,4,2,4,4,4,5,4,4,2,4,4,2,5,5,4,3,5,7,4,2,4,2,2,3,5,8,10,3,4,1,2,-0.83813681868985,-0.387733981712283,-0.0174281363783285,1.07846249282564,1.39390255346196,-0.705348138301713
608162,608047,1,1,1,1,2,2,1,-1.76939096851229,-0.833848507269098,-2.06724688353915,-0.127787765277308,-0.200573907906533,0.183072650331434,-0.22090244326033,10,7,3,1,8,2,5,2,3,1,5,10,1,9,10,1,8,10,1,6,1,2,7,3,5,1,1,4,5,2,7,2,1,3,7,2,9,8,10,1,3,2,10,3,2,10,2,5,1,1,4,1,1,1,1,1,5,2,1,1,1,4,5,2,5,3,5,5,4,2,2,2,3,5,3,2,10,5,5,5,2,5,2,1,1,1,3,4,1,3,-0.219791437469433,-0.686448262047864,-2.09939864610262,1.52397074967079,0.63125602907918,0.947540705695945
608162,608047,1,1,1,1,1,1,1,1.17816428701833,1.49569738649819,1.4924685336315,-0.719535868317504,-0.65286110934958,2.0752999413669,-0.395413546642684,10,1,10,10,1,10,10,3,10,10,1,10,1,10,10,10,10,10,10,1,1,1,1,1,1,1,10,10,10,10,10,1,1,10,10,1,1,10,1,10,10,10,10,10,10,10,2,3,5,2,4,4,2,2,4,4,2,4,2,4,4,4,4,4,1,4,4,1,4,4,2,4,4,4,1,3,10,4,2,1,1,1,3,10,10,10,2,4,3,2,0.0929589775257031,0.895253015404687,1.21358265902605,-0.512320354927479,1.1197681762994,2.77199232362921
608162,608047,1,1,1,1,1,2,1,-1.17201271908458,-0.381020244716677,0.284155713208512,-0.0164911847323843,-0.555621150932018,-0.374191750925616,0.0987057975245011,8,9,8,2,2,5,6,1,9,8,4,2,5,4,9,10,3,2,3,8,1,2,5,2,3,1,1,2,5,4,3,2,1,6,5,9,10,5,5,5,7,5,5,8,8,5,2,3,4,2,3,2,3,2,1,2,2,1,1,2,1,4,5,2,2,3,4,2,4,2,2,4,4,4,4,4,5,2,4,2,2,2,3,5,8,7,4,4,3,2,-0.422063632000425,-0.147868340348997,-1.12083224141564,0.137467260217903,0.475878398151505,0.584157644516926
608162,608047,1,1,1,1,2,1,1,1.52608888397145,-0.374708865092404,-0.337674917438215,-0.913367467712962,-0.969025096623666,-0.886439331103274,-0.67747956268997,8,7,6,3,5,8,9,2,4,5,6,8,3,6,6,6,7,2,5,1,1,2,3,1,2,1,1,1,1,1,2,5,1,6,4,5,7,5,3,7,5,5,7,8,6,6,2,4,6,2,3,3,3,3,3,3,3,4,4,2,4,4,4,4,3,3,4,3,4,3,4,2,3,3,4,3,8,4,4,4,2,2,1,8,9,7,3,4,2,4,-0.962404917466402,-0.626241625894483,1.72563431954258,0.742924935088015,0.476887379083488,0.668437218613603
608162,608047,1,1,1,1,1,1,1,-0.602276790027273,0.846592347077239,1.28811515913065,-0.3307318164567,-0.841904649356179,-0.455584841332092,-0.439960371763835,10,10,10,1,1,7,8,2,8,9,2,2,1,7,1,1,1,1,1,1,1,10,1,1,1,1,9,1,1,5,1,9,1,5,5,1,10,5,5,8,9,9,10,10,10,7,2,3,5,2,4,4,2,4,2,1,4,4,2,2,2,4,4,4,4,2,4,2,4,4,2,2,4,2,4,4,10,4,2,3,4,2,2,6,9,10,3,4,3,3,-0.59249469282052,0.849642370453419,-0.497141905169477,1.08475103353054,-0.00722030359333653,-1.66848134625112
608162,608047,1,1,1,1,1,2,1,2.01956918173871,0.761704223177002,0.983441713144582,1.13580079974218,-0.714732315577063,-1.17431520718357,1.35586991426372,8,7,10,1,1,10,1,1,9,10,6,2,1,7,1,1,1,1,9,7,1,10,10,1,1,1,1,1,1,1,1,1,1,10,10,5,10,6,10,10,6,6,10,9,9,9,3,3,5,2,2,2,4,2,4,3,2,2,4,4,4,4,4,2,2,4,4,2,4,4,4,2,4,4,2,2,8,1,1,1,1,4,3,10,10,7,4,4,3,2,-0.302727763168766,0.905413944504334,2.499669188658,0.132141417082065,1.47136175778709,-1.94648974562634
608162,608047,2,1,1,1,1,2,1,-1.0939379010257,1.18172788777338,0.875808222594443,1.68828606514887,-0.715847909282828,-0.968423027084837,0.0784160443276478,9,6,10,2,3,10,10,1,10,1,10,1,1,2,1,2,2,2,10,2,2,5,2,2,1,2,6,2,2,2,1,2,1,10,10,10,10,10,10,8,7,10,10,10,8,10,2,5,1,1,4,4,1,1,1,2,3,1,3,4,1,5,2,5,4,4,4,2,4,4,3,2,3,1,4,4,10,4,2,2,2,2,3,5,10,5,4,4,1,2,-0.619893404087936,1.69758708144425,-1.09595084580268,1.04318954398555,-0.602442321774514,-0.872186664825596
608162,608047,2,1,1,1,1,1,1,-0.544136529723119,0.564164115066139,-0.0827379777475548,0.517932132047591,-1.09230697189893,-0.841968448318305,-0.058982781315972,10,6,9,1,1,6,8,2,5,10,4,10,7,9,6,2,2,2,10,1,1,1,6,1,1,1,6,1,2,1,1,6,1,10,6,5,10,10,8,6,6,5,10,8,6,6,2,3,7,2,3,4,1,1,1,2,3,4,2,3,3,4,4,4,4,3,4,3,3,3,4,3,3,2,3,4,10,3,3,2,2,4,1,9,8,7,3,4,3,4,-0.875777809536944,0.582314425854546,-0.502656109530333,1.09355939469674,-0.156303061140937,-0.901436883147235
608162,608047,2,1,1,1,1,2,1,-0.277440952970723,1.22999870881807,1.52699713028364,-0.433554841283496,-0.895863267934241,-0.624648770612761,-0.0908513792042815,8,8,8,7,10,10,8,1,8,9,7,10,6,6,1,1,1,1,6,1,1,6,6,1,1,1,3,1,6,1,1,6,1,8,8,8,8,8,1,10,8,10,10,10,10,7,2,2,6,2,4,4,1,4,2,2,4,4,2,4,3,4,4,2,4,3,4,2,2,2,2,2,2,2,5,5,8,4,3,3,1,4,1,10,10,7,4,4,4,4,-0.61477873196529,1.31654178232755,-0.199616725058209,0.407605310173671,-1.36848821896909,-1.45353851961682
608162,608047,2,1,1,1,1,2,1,-0.458467982629299,1.32976172619089,0.857512680755744,1.74228908539347,0.262885614792144,-0.0124038959915572,0.0118506688097251,1,7,8,5,9,10,10,1,8,5,9,7,9,7,4,4,7,4,4,4,4,4,4,4,4,4,4,4,5,6,3,3,1,9,10,10,10,8,9,10,10,10,10,1,10,9,2,1,1,1,3,3,2,2,2,2,2,3,2,2,2,4,4,4,4,5,5,5,4,4,4,5,5,4,4,4,9,2,4,2,2,4,2,6,10,10,4,4,5,3,0.200983544510117,1.62905653643782,-0.595689858165801,1.72969092880509,1.91292250255679,0.617241986251545
608162,608047,2,1,1,1,1,2,1,1.17641739360216,0.591908598868805,1.39401714305159,0.600098105763519,-0.947591261272178,-0.878406273784733,-0.165750909938962,7,6,7,7,8,10,8,1,8,8,6,6,7,6,1,1,1,1,6,1,1,7,3,1,1,1,1,1,1,1,1,7,1,9,8,6,8,8,8,6,6,7,10,10,10,7,2,3,6,2,4,2,2,4,2,4,2,2,4,4,4,3,4,4,3,4,4,2,4,4,2,2,4,3,4,4,10,3,3,2,2,2,3,8,6,7,4,4,3,2,-0.721300360293371,0.76750104989499,1.36695610297839,0.561518170073109,0.440352871830967,-1.612639709427
608162,608047,2,1,1,1,1,1,1,-0.685252703644168,1.42968218113223,1.46927666334666,0.621759196417568,-0.687504702250314,1.00999364627684,-0.63925619341361,10,1,9,7,1,3,6,2,5,8,10,10,5,2,10,1,1,1,5,1,1,1,1,1,6,1,1,1,9,1,9,9,1,5,10,10,8,5,5,10,10,10,10,10,10,10,4,5,5,2,4,2,1,2,2,2,2,4,2,2,2,3,4,4,4,2,4,4,4,4,2,2,2,2,2,4,3,2,2,2,2,2,3,5,8,10,3,4,1,2,-0.310207984271528,1.57903408257851,-0.852776937499664,0.817212813500701,-0.719634211356758,-1.14122495344173
608162,608047,2,1,1,1,2,2,1,-0.496559651597988,-3.09316013346864,-0.0913749503393444,-2.4713523449505,0.264413238223878,1.63152853671485,0.346047638468008,5,5,5,1,1,10,5,1,5,5,5,10,5,1,1,10,5,10,10,10,1,1,1,1,1,10,5,10,1,1,10,10,1,5,1,1,1,1,1,1,1,1,1,1,10,5,2,5,1,1,2,1,3,1,1,3,3,3,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,3,1,2,1,1,1,1,5,6,4,4,1,4,0.389090702783569,-3.17729231116154,-0.599493530065094,1.04405734837465,1.82888158996659,1.92809584286172
608162,608047,2,1,1,1,1,2,1,1.70980854710695,-0.806798399590749,-2.11947797277414,-1.51853382036462,-0.766995892369745,-1.22506661949038,0.296374829599302,10,10,10,10,1,10,10,1,1,1,10,10,10,10,1,1,1,1,6,1,1,10,10,1,1,1,1,1,1,1,1,1,1,10,1,10,1,1,1,10,1,1,10,1,2,5,2,4,1,1,2,2,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,2,4,4,2,2,4,4,2,2,6,2,2,2,2,2,1,10,7,5,4,4,2,4,-0.704500449356331,-1.73921382950912,2.12965134712672,0.90149427786182,1.06714585622616,-1.79460394465579
608162,608047,2,1,1,1,1,2,1,-0.866279733302744,1.10245717869065,1.06894313968778,1.18455671522197,0.0774679011597778,-0.624904479008084,0.823000819783232,5,4,1,1,2,10,8,1,9,10,7,10,10,1,1,1,1,1,9,7,1,8,8,1,6,1,1,9,1,1,2,1,1,9,10,9,5,8,9,4,10,10,10,10,9,10,2,3,3,1,4,4,2,2,2,2,2,4,2,2,1,2,4,2,4,4,4,4,4,2,2,4,4,2,4,4,10,4,4,2,2,2,2,8,8,10,4,4,3,3,0.137253446304382,1.20802917904867,-0.973001345981228,0.487670526610174,-0.561242912039166,-1.44787838676364
