Prov,mun,stlmtsz8,stlmtsz5,H_SETTLEMENT,H_URBRURAL,E_RESPINT,F_INTPRIVACY,E1_LITERACY,gov_trst,dem_equ,dem_imp,dem_mil_reg,eth_death,eth_poldeath_sex,eth_sex_rel,Q106,Q107,Q108,Q109,Q110,Q112,Q120,Q143,Q158,Q159,Q160,Q161,Q162,Q177,Q178,Q179,Q180,Q181,Q182,Q183
608162,608047,1,1,1,1,1,1,1,0.481861475,1.084833596,1.39137756,1.47759963,2.719794941,1.991186622,2.505659916,8,7,9,6,10,10,8,1,9,9,9,1,1,6,4,10,9,9,8,10
608162,608047,1,1,1,1,1,1,1,2.019569182,1.336244736,1.445279222,1.551226808,-0.884418871,0.43402481,-0.086306192,5,7,6,5,5,10,10,1,6,8,6,7,7,3,1,1,1,1,2,1
608162,608047,1,1,1,1,1,1,1,1.118277133,-0.665787516,-0.237399044,-0.166749225,-1.006396452,-1.136938925,-1.396585436,8,5,10,6,1,10,5,1,7,8,4,5,5,9,1,1,5,1,1,1
608162,608047,1,1,1,1,1,1,1,-0.02704156,-0.30725106,-0.530165515,-0.453571488,-0.815398289,-0.679632913,-0.362774689,5,1,5,1,1,10,4,2,6,1,6,1,4,9,1,2,1,4,7,4
608162,608047,1,1,1,1,2,2,1,-1.769390969,-0.833848507,-2.067246884,-0.127787765,-0.200573908,0.18307265,-0.220902443,10,7,3,1,8,2,5,2,3,1,5,10,1,9,10,1,8,10,1,6
608162,608047,1,1,1,1,1,1,1,1.178164287,1.495697386,1.492468534,-0.719535868,-0.652861109,2.075299941,-0.395413547,10,1,10,10,1,10,10,3,10,10,1,10,1,10,10,10,10,10,10,1
608162,608047,1,1,1,1,1,2,1,-1.172012719,-0.381020245,0.284155713,-0.016491185,-0.555621151,-0.374191751,0.098705798,8,9,8,2,2,5,6,1,9,8,4,2,5,4,9,10,3,2,3,8
608162,608047,1,1,1,1,2,1,1,1.526088884,-0.374708865,-0.337674917,-0.913367468,-0.969025097,-0.886439331,-0.677479563,8,7,6,3,5,8,9,2,4,5,6,8,3,6,6,6,7,2,5,1
608162,608047,1,1,1,1,1,1,1,-0.60227679,0.846592347,1.288115159,-0.330731816,-0.841904649,-0.455584841,-0.439960372,10,10,10,1,1,7,8,2,8,9,2,2,1,7,1,1,1,1,1,1
608162,608047,1,1,1,1,1,2,1,2.019569182,0.761704223,0.983441713,1.1358008,-0.714732316,-1.174315207,1.355869914,8,7,10,1,1,10,1,1,9,10,6,2,1,7,1,1,1,1,9,7
608162,608047,2,1,1,1,1,2,1,-1.093937901,1.181727888,0.875808223,1.688286065,-0.715847909,-0.968423027,0.078416044,9,6,10,2,3,10,10,1,10,1,10,1,1,2,1,2,2,2,10,2
608162,608047,2,1,1,1,1,1,1,-0.54413653,0.564164115,-0.082737978,0.517932132,-1.092306972,-0.841968448,-0.058982781,10,6,9,1,1,6,8,2,5,10,4,10,7,9,6,2,2,2,10,1
608162,608047,2,1,1,1,1,2,1,-0.277440953,1.229998709,1.52699713,-0.433554841,-0.895863268,-0.624648771,-0.090851379,8,8,8,7,10,10,8,1,8,9,7,10,6,6,1,1,1,1,6,1
608162,608047,2,1,1,1,1,2,1,-0.458467983,1.329761726,0.857512681,1.742289085,0.262885615,-0.012403896,0.011850669,1,7,8,5,9,10,10,1,8,5,9,7,9,7,4,4,7,4,4,4
608162,608047,2,1,1,1,1,2,1,1.176417394,0.591908599,1.394017143,0.600098106,-0.947591261,-0.878406274,-0.16575091,7,6,7,7,8,10,8,1,8,8,6,6,7,6,1,1,1,1,6,1
608162,608047,2,1,1,1,1,1,1,-0.685252704,1.429682181,1.469276663,0.621759196,-0.687504702,1.009993646,-0.639256193,10,1,9,7,1,3,6,2,5,8,10,10,5,2,10,1,1,1,5,1
608162,608047,2,1,1,1,2,2,1,-0.496559652,-3.093160133,-0.09137495,-2.471352345,0.264413238,1.631528537,0.346047638,5,5,5,1,1,10,5,1,5,5,5,10,5,1,1,10,5,10,10,10
608162,608047,2,1,1,1,1,2,1,1.709808547,-0.8067984,-2.119477973,-1.51853382,-0.766995892,-1.225066619,0.29637483,10,10,10,10,1,10,10,1,1,1,10,10,10,10,1,1,1,1,6,1
608162,608047,2,1,1,1,1,2,1,-0.866279733,1.102457179,1.06894314,1.184556715,0.077467901,-0.624904479,0.82300082,5,4,1,1,2,10,8,1,9,10,7,10,10,1,1,1,1,1,9,7
608162,608047,2,1,1,1,2,1,1,0.073176277,-0.020452283,0.40699817,0.157870738,-0.864276638,-0.577653929,-0.446285759,6,5,8,6,8,7,10,1,6,7,7,6,6,6,3,1,2,3,5,2
608162,608047,4,2,1,1,1,2,1,1.526962331,-1.757525352,-0.844449692,-0.938305556,1.710870539,1.101192509,1.715694773,3,9,8,5,5,9,7,1,4,4,5,4,4,7,7,7,7,6,8,8
608162,608047,4,2,1,1,1,2,1,0.852455003,1.16482561,1.399807776,1.054952927,-0.726627763,-1.230785041,1.079618004,9,9,2,2,9,10,9,2,10,10,10,10,1,9,9,1,1,1,9,9
608162,608047,4,2,1,1,1,2,1,0.444643253,0.632476163,0.448504679,-0.565781259,0.160719701,-0.452896532,-0.228583244,8,2,2,2,2,8,8,1,4,4,3,8,2,2,8,7,3,2,4,4
608162,608047,4,2,1,1,-5,2,-5,0.481861475,-0.847365793,-0.889717623,-1.034277628,0.986667788,0.082213702,1.388686533,4,8,7,9,8,7,8,2,9,9,9,9,9,4,4,4,4,4,4,7
608162,608047,4,2,1,1,1,1,1,1.709808547,1.267406742,1.535665342,1.288859626,-0.317954631,-0.840566406,-0.769053145,9,9,1,2,1,10,10,3,1,10,10,1,1,10,9,2,1,1,5,2
608162,608047,4,2,1,1,1,1,1,0.586632873,-0.71470466,0.371593081,-0.481222758,2.673696843,1.872410933,2.222491205,5,5,5,5,10,5,5,2,5,5,3,10,5,1,5,10,10,10,10,10
608162,608047,4,2,1,1,1,1,1,0.708646196,1.748013216,0.776707628,2.059104168,-1.031641687,-1.279342093,0.059111921,1,10,9,2,3,10,5,2,6,5,5,5,5,1,1,1,1,1,8,7
